family,link
Bulinidae,https://en.wikipedia.org/wiki/Bulinidae
Chilinidae,https://en.wikipedia.org/wiki/Chilina
Megaspiridae,https://en.wikipedia.org/wiki/Megaspiridae
Solenidae,https://en.wikipedia.org/wiki/Solenidae
Cerithiopsidae,https://en.wikipedia.org/wiki/Cerithiopsidae
Solecurtidae,https://en.wikipedia.org/wiki/Solecurtidae
Alacuppidae,https://en.wikipedia.org/wiki/Alacuppidae
Hydrocenidae,https://en.wikipedia.org/wiki/Hydrocenidae
Margaritidae,https://en.wikipedia.org/wiki/Margaritidae
Xenophoridae,https://en.wikipedia.org/wiki/Xenophoridae
Discidae,https://en.wikipedia.org/wiki/Discidae
Ficidae,https://en.wikipedia.org/wiki/Ficidae
Calyptraeidae,https://en.wikipedia.org/wiki/Calyptraeidae
Myidae,https://en.wikipedia.org/wiki/Myidae
Annulariidae,https://en.wikipedia.org/wiki/Annulariidae
Lauriidae,https://en.wikipedia.org/wiki/Lauriidae
[unassigned] Buccinoidea,https://en.wikipedia.org/wiki/Buccinoidea
Personidae,https://en.wikipedia.org/wiki/Personidae
Euciroidae,https://en.wikipedia.org/wiki/Euciroidae
Carditidae,https://en.wikipedia.org/wiki/Carditidae
Columbellidae,https://en.wikipedia.org/wiki/Columbellidae
Trochidae,https://en.wikipedia.org/wiki/Trochidae
Rissoidae,https://en.wikipedia.org/wiki/Rissoidae
Oxychilidae,https://en.wikipedia.org/wiki/Oxychilidae
Cocculinidae,https://en.wikipedia.org/wiki/Cocculinidae
Ostreidae,https://en.wikipedia.org/wiki/Ostreidae
Eratoidae,https://en.wikipedia.org/wiki/Eratoidae
Littorinidae,https://en.wikipedia.org/wiki/Littorinidae
Proserpinidae,https://en.wikipedia.org/wiki/Proserpinidae
Dolicholatiridae,https://en.wikipedia.org/wiki/Buccinoidea
Busyconidae,https://en.wikipedia.org/wiki/Busyconidae
Chitonidae,https://en.wikipedia.org/wiki/Chitonidae
Margaritiferidae,https://en.wikipedia.org/wiki/Margaritiferidae
Ferussaciidae,https://en.wikipedia.org/wiki/Ferussaciidae
Melongenidae,https://en.wikipedia.org/wiki/Melongenidae
Borsoniidae,https://en.wikipedia.org/wiki/Borsoniidae
Tegulidae,https://en.wikipedia.org/wiki/Tegulidae
Ancillariidae,https://en.wikipedia.org/wiki/Ancillariidae
Trimusculidae,https://en.wikipedia.org/wiki/Trimusculus
Entalinidae,https://en.wikipedia.org/wiki/Entalinidae
Argonautidae,https://en.wikipedia.org/wiki/Argonautidae
Neritidae,https://en.wikipedia.org/wiki/Neritidae
Siliquariidae,https://en.wikipedia.org/wiki/Siliquariidae
Strophocheilidae,https://en.wikipedia.org/wiki/Strophocheilidae
