ourName,aphiaID,acceptedName,acceptedAphiaID,commonName,family,habitat,isExtinct,Location List
Aandara consociata,504305,Anadara consociata,504305,None,Arcidae,Marine,[]
Abida polyodon,1001803,Abida polyodon,1001803,None,Chondrinidae,Terrestrial,"[Spain, Andorra, France]"
Abida secale,934321,Abida secale,934321,juniper chrysalis shell,Chondrinidae,Terrestrial,[]
Abra alba,141433,Abra alba,141433,white abra,Semelidae,Marine,"[Mediterranean Sea - Eastern Basin, Tunisia, Dardanelles, Ireland, Bosporus, United Kingdom, Ukraine, North Sea, Italy, Mediterranean Sea - Western Basin, Belgium, Sweden, Black Sea, Aegean Sea, Mediterranean Sea, France, North Atlantic Ocean, Sea of Marmara]"
Abra longicallus,141434,Abra longicallus,141434,None,Semelidae,Marine,"[Mediterranean Sea - Eastern Basin, Dardanelles, Bosporus, United Kingdom, Mexico, Greece, Colombia, Lesser Antilles, Puerto Rican Exclusive Economic Zone, Caribbean Sea, Sweden, Aegean Sea, Gulf of Mexico, North Atlantic Ocean, Sea of Marmara]"
Abra soyoae,507244,Abra soyoae,507244,None,Semelidae,Marine,[]
Abra tenuis,141439,Abra tenuis,141439,flat European abra,Semelidae,Marine,"[Mediterranean Sea - Eastern Basin, Tunisia, Ireland, Netherlands, United Kingdom, North Sea, English Channel, France, North Atlantic Ocean, Aegean Sea]"
Acanthina brevidentata,395268,Acanthais brevidentata,395268,None,Muricidae,Marine,[]
Acanthina spirata,580791,Acanthinucella spirata,404477,None,Muricidae,Marine,[]
Acanthocardia aculeata,138990,Acanthocardia aculeata,138990,spiny cockle,Cardiidae,Marine,"[Mediterranean Sea - Eastern Basin, Dardanelles, Ireland, Bosporus, United Kingdom, Belgium, Aegean Sea, France, North Atlantic Ocean, Sea of Marmara]"
Acanthocardia echinata,138992,Acanthocardia echinata,138992,European prickly cockle,Cardiidae,Marine,"[Mediterranean Sea - Eastern Basin, Tunisia, Ireland, Iceland, United Kingdom, Bosporus, North Sea, Canada, Mediterranean Sea - Western Basin, Greece, Belgium, Sweden, Black Sea, Aegean Sea, Sea of Marmara, France, North Atlantic Ocean, Beaufort Sea]"
Acanthocardia paucicostata,138993,Acanthocardia paucicostata,138993,poorly ribbed cockle,Cardiidae,Marine,"[Mediterranean Sea - Eastern Basin, Tunisia, Netherlands, Bosporus, Mediterranean Sea - Western Basin, Aegean Sea, Black Sea, North Atlantic Ocean, Sea of Marmara]"
Acanthocardia spinosa,138994,Acanthocardia spinosa,138994,sand cockle,Cardiidae,Marine,"[Mediterranean Sea - Eastern Basin, Sea of Marmara, Mediterranean Sea, North Atlantic Ocean, Aegean Sea]"
Acanthocardia tubercolata,381057,Acanthocardia tuberculata,381057,Moroccan cockle,Cardiidae,Marine,"[Mediterranean Sea - Eastern Basin, Tunisia, Dardanelles, Ireland, Bosporus, Mediterranean Sea - Western Basin, Greece, Aegean Sea, Black Sea, North Atlantic Ocean, Sea of Marmara]"
